Модель,Балансировка,Порог,CV F1,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Test Average Precision
Случайный лес,Без балансировки,0.405,0.8628005657708628,0.9666666666666667,0.9069767441860465,0.8764044943820225,0.8914285714285715,0.9847111588684622,0.9340480300449572
Градиентный бустинг,Без балансировки,0.375,0.8607242339832869,0.9596491228070175,0.84375,0.9101123595505618,0.8756756756756757,0.9871639141302062,0.9480619809315304
Логистическая регрессия,Без балансировки,0.25,0.6813953488372093,0.8701754385964913,0.5590551181102362,0.797752808988764,0.6574074074074074,0.9275502814828658,0.7614200024954622
